,nbateamid,team,season,games,off_rtg,def_rtg,net_rtg,W,L
80,1610612760,OKC,2009,82,108.3,104.6,3.7,50,32
81,1610612753,ORL,2009,82,111.4,103.3,8.1,59,23
82,1610612755,PHI,2009,82,106.1,110.3,-4.2,27,55
83,1610612756,PHX,2009,82,115.3,110.2,5.1,54,28
84,1610612757,POR,2009,82,110.8,107.1,3.7,50,32
85,1610612758,SAC,2009,82,105.3,109.9,-4.6,25,57
86,1610612759,SAS,2009,82,110.0,104.5,5.5,50,32
87,1610612761,TOR,2009,82,111.3,113.2,-1.9,40,42
88,1610612762,UTA,2009,82,110.7,105.0,5.7,53,29
89,1610612764,WAS,2009,82,104.2,109.4,-5.2,26,56
90,1610612737,ATL,2010,82,106.1,107.0,-0.9,44,38
91,1610612751,BKN,2010,82,103.1,109.9,-6.8,24,58
92,1610612738,BOS,2010,82,106.2,100.3,5.9,56,26
93,1610612766,CHA,2010,82,103.4,107.8,-4.4,34,48
94,1610612741,CHI,2010,82,108.3,100.3,8.0,62,20
95,1610612739,CLE,2010,82,102.2,111.8,-9.6,19,63
96,1610612742,DAL,2010,82,109.7,105.0,4.7,57,25
97,1610612743,DEN,2010,82,112.3,107.3,5.0,50,32
98,1610612765,DET,2010,82,107.7,111.7,-4.0,30,52
99,1610612744,GSW,2010,82,108.2,110.7,-2.5,36,46
100,1610612745,HOU,2010,82,111.3,109.0,2.3,43,39
101,1610612754,IND,2010,82,104.8,106.0,-1.2,37,45
102,1610612746,LAC,2010,82,105.3,108.7,-3.4,32,50
103,1610612747,LAL,2010,82,111.0,104.3,6.7,57,25
104,1610612763,MEM,2010,82,107.6,105.1,2.5,46,36
105,1610612748,MIA,2010,82,111.7,103.5,8.2,58,24
106,1610612749,MIL,2010,82,101.6,102.5,-0.9,35,47
107,1610612750,MIN,2010,82,104.2,111.1,-6.9,17,65
108,1610612740,NOP,2010,82,106.2,105.2,1.0,46,36
109,1610612752,NYK,2010,82,110.9,110.1,0.8,42,40
110,1610612760,OKC,2010,82,111.2,107.2,4.0,55,27
111,1610612753,ORL,2010,82,107.9,102.0,5.9,52,30
112,1610612755,PHI,2010,82,106.6,105.0,1.6,41,41
113,1610612756,PHX,2010,82,109.5,110.4,-0.9,40,42
114,1610612757,POR,2010,82,108.8,107.1,1.7,48,34
115,1610612758,SAC,2010,82,103.5,109.0,-5.5,24,58
116,1610612759,SAS,2010,82,111.8,105.6,6.2,61,21
117,1610612761,TOR,2010,82,106.1,112.9,-6.8,22,60
118,1610612762,UTA,2010,82,108.1,110.1,-2.0,39,43
119,1610612764,WAS,2010,82,102.4,110.2,-7.8,23,59
120,1610612737,ATL,2011,66,104.9,101.2,3.7,40,26
121,1610612751,BKN,2011,66,102.9,109.6,-6.7,22,44
122,1610612738,BOS,2011,66,101.0,98.2,2.8,39,27
123,1610612766,CHA,2011,66,95.2,110.4,-15.2,7,59
124,1610612741,CHI,2011,66,107.4,98.3,9.1,50,16
125,1610612739,CLE,2011,66,101.1,108.9,-7.8,21,45
126,1610612742,DAL,2011,66,103.3,102.3,1.0,36,30
127,1610612743,DEN,2011,66,109.2,106.2,3.0,38,28
128,1610612765,DET,2011,66,101.0,106.3,-5.3,25,41
129,1610612744,GSW,2011,66,105.4,109.1,-3.7,23,43
130,1610612745,HOU,2011,66,105.5,105.2,0.3,34,32
131,1610612754,IND,2011,66,106.7,103.1,3.6,42,24
132,1610612746,LAC,2011,66,108.5,105.7,2.8,40,26
133,1610612747,LAL,2011,66,106.0,104.4,1.6,41,25
134,1610612763,MEM,2011,66,104.0,101.8,2.2,41,25
135,1610612748,MIA,2011,66,106.6,100.2,6.4,46,20
136,1610612749,MIL,2011,66,105.5,105.2,0.3,31,35
137,1610612750,MIN,2011,66,104.3,106.6,-2.3,26,40
138,1610612740,NOP,2011,66,100.9,105.1,-4.2,21,45
139,1610612752,NYK,2011,66,104.4,101.0,3.4,36,30
140,1610612760,OKC,2011,66,109.8,103.2,6.6,47,19
141,1610612753,ORL,2011,66,105.0,104.1,0.9,37,29
142,1610612755,PHI,2011,66,103.9,99.2,4.7,35,31
143,1610612756,PHX,2011,66,106.2,106.5,-0.3,33,33
144,1610612757,POR,2011,66,105.7,106.4,-0.7,28,38
145,1610612758,SAC,2011,66,103.8,109.8,-6.0,22,44
146,1610612759,SAS,2011,66,110.9,103.2,7.7,50,16
147,1610612761,TOR,2011,66,100.8,104.5,-3.7,23,43
148,1610612762,UTA,2011,66,106.8,106.1,0.7,36,30
149,1610612764,WAS,2011,66,101.0,106.2,-5.2,20,46
150,1610612737,ATL,2012,82,104.8,104.4,0.4,44,38
151,1610612751,BKN,2012,82,108.2,106.2,2.0,49,33
152,1610612738,BOS,2012,81,103.1,103.3,-0.2,41,40
153,1610612766,CHA,2012,82,101.5,111.5,-10.0,21,61
154,1610612741,CHI,2012,82,103.5,103.2,0.3,45,37
155,1610612739,CLE,2012,82,104.3,109.4,-5.1,24,58
156,1610612742,DAL,2012,82,105.9,106.5,-0.6,41,41
157,1610612743,DEN,2012,82,110.4,105.1,5.3,57,25
158,1610612765,DET,2012,82,103.8,108.1,-4.3,29,53
159,1610612744,GSW,2012,82,106.4,105.5,0.9,47,35
160,1610612745,HOU,2012,82,109.7,106.1,3.6,45,37
161,1610612754,IND,2012,81,104.3,99.8,4.5,49,32
162,1610612746,LAC,2012,82,110.6,103.6,7.0,56,26
163,1610612747,LAL,2012,82,107.8,106.6,1.2,45,37
164,1610612763,MEM,2012,82,104.9,100.3,4.6,56,26
165,1610612748,MIA,2012,82,112.3,103.7,8.6,66,16
166,1610612749,MIL,2012,82,103.6,105.2,-1.6,38,44
167,1610612750,MIN,2012,82,102.9,105.4,-2.5,31,51
168,1610612740,NOP,2012,82,105.7,110.1,-4.4,27,55
169,1610612752,NYK,2012,82,111.1,106.3,4.8,54,28
170,1610612760,OKC,2012,82,112.4,102.6,9.8,60,22
171,1610612753,ORL,2012,82,101.6,109.1,-7.5,20,62
172,1610612755,PHI,2012,82,102.0,105.7,-3.7,34,48
173,1610612756,PHX,2012,82,101.2,108.1,-6.9,25,57
174,1610612757,POR,2012,82,105.8,109.2,-3.4,33,49
175,1610612758,SAC,2012,82,106.2,111.4,-5.2,28,54
176,1610612759,SAS,2012,82,108.3,101.6,6.7,58,24
177,1610612761,TOR,2012,82,105.9,107.5,-1.6,34,48
178,1610612762,UTA,2012,82,106.7,106.8,-0.1,43,39
179,1610612764,WAS,2012,82,100.2,103.0,-2.8,29,53
180,1610612737,ATL,2013,82,105.9,106.4,-0.5,38,44
181,1610612751,BKN,2013,82,106.7,107.7,-1.0,44,38
182,1610612738,BOS,2013,82,102.9,107.7,-4.8,25,57
183,1610612766,CHA,2013,82,103.6,103.8,-0.2,43,39
184,1610612741,CHI,2013,82,102.5,100.5,2.0,48,34
185,1610612739,CLE,2013,82,104.2,107.7,-3.5,33,49
186,1610612742,DAL,2013,82,111.2,108.7,2.5,49,33
187,1610612743,DEN,2013,82,106.0,108.2,-2.2,36,46
188,1610612765,DET,2013,82,105.9,109.7,-3.8,29,53
189,1610612744,GSW,2013,82,107.5,102.6,4.9,51,31
190,1610612745,HOU,2013,82,111.0,106.3,4.7,54,28
191,1610612754,IND,2013,82,104.1,99.3,4.8,56,26
192,1610612746,LAC,2013,82,112.1,104.8,7.3,57,25
193,1610612747,LAL,2013,82,104.2,110.6,-6.4,27,55
194,1610612763,MEM,2013,82,106.3,104.6,1.7,50,32
195,1610612748,MIA,2013,82,110.9,105.8,5.1,54,28
196,1610612749,MIL,2013,82,103.0,111.8,-8.8,15,67
197,1610612750,MIN,2013,82,108.9,106.2,2.7,40,42
198,1610612740,NOP,2013,82,107.2,110.1,-2.9,34,48
199,1610612752,NYK,2013,82,108.3,109.1,-0.8,37,45
200,1610612760,OKC,2013,82,110.5,103.9,6.6,59,23
201,1610612753,ORL,2013,82,101.7,107.4,-5.7,23,59
202,1610612755,PHI,2013,82,99.4,109.9,-10.5,19,63
203,1610612756,PHX,2013,82,109.5,106.7,2.8,48,34
204,1610612757,POR,2013,82,111.5,107.4,4.1,54,28
205,1610612758,SAC,2013,82,105.7,108.8,-3.1,28,54
206,1610612759,SAS,2013,82,110.5,102.4,8.1,62,20
207,1610612761,TOR,2013,82,108.8,105.3,3.5,48,34
208,1610612762,UTA,2013,82,103.5,111.3,-7.8,25,57
209,1610612764,WAS,2013,82,106.0,104.6,1.4,44,38
210,1610612737,ATL,2014,82,108.9,103.1,5.8,60,22
211,1610612751,BKN,2014,82,104.4,107.4,-3.0,38,44
212,1610612738,BOS,2014,82,104.7,104.5,0.2,40,42
213,1610612766,CHA,2014,82,100.1,103.5,-3.4,33,49
214,1610612741,CHI,2014,82,107.5,104.3,3.2,50,32
215,1610612739,CLE,2014,82,111.1,106.3,4.8,53,29
216,1610612742,DAL,2014,82,109.5,106.4,3.1,50,32
217,1610612743,DEN,2014,82,104.5,108.2,-3.7,30,52
218,1610612765,DET,2014,82,105.3,106.4,-1.1,32,50
219,1610612744,GSW,2014,82,111.6,101.4,10.2,67,15
220,1610612745,HOU,2014,82,107.0,103.4,3.6,56,26
221,1610612754,IND,2014,82,103.5,103.2,0.3,38,44
222,1610612746,LAC,2014,82,112.4,105.5,6.9,56,26
223,1610612747,LAL,2014,82,103.4,110.6,-7.2,21,61
224,1610612763,MEM,2014,82,105.7,102.2,3.5,55,27
225,1610612748,MIA,2014,82,103.9,106.7,-2.8,37,45
226,1610612749,MIL,2014,82,102.7,102.2,0.5,41,41
227,1610612750,MIN,2014,82,102.9,112.2,-9.3,16,66
228,1610612740,NOP,2014,82,108.2,107.3,0.9,45,37
229,1610612752,NYK,2014,82,99.9,110.0,-10.1,17,65
230,1610612760,OKC,2014,82,107.8,105.5,2.3,45,37
231,1610612753,ORL,2014,82,101.6,107.7,-6.1,25,57
232,1610612755,PHI,2014,82,95.5,104.8,-9.3,18,64
233,1610612756,PHX,2014,82,105.3,106.2,-0.9,39,43
234,1610612757,POR,2014,82,108.2,103.7,4.5,51,31
235,1610612758,SAC,2014,82,105.3,109.2,-3.9,29,53
236,1610612759,SAS,2014,82,108.5,102.0,6.5,55,27
237,1610612761,TOR,2014,82,111.0,107.7,3.3,49,33
238,1610612762,UTA,2014,82,105.1,104.9,0.2,38,44
239,1610612764,WAS,2014,82,103.7,103.0,0.7,46,36
240,1610612737,ATL,2015,82,105.1,101.4,3.7,48,34
241,1610612751,BKN,2015,82,103.2,110.9,-7.7,21,61
242,1610612738,BOS,2015,82,106.8,103.6,3.2,48,34
243,1610612766,CHA,2015,82,107.1,104.3,2.8,48,34
244,1610612741,CHI,2015,82,105.0,106.5,-1.5,42,40
245,1610612739,CLE,2015,82,110.9,104.5,6.4,57,25
246,1610612742,DAL,2015,82,106.7,107.0,-0.3,42,40
247,1610612743,DEN,2015,82,105.6,108.9,-3.3,33,49
248,1610612765,DET,2015,82,106.1,105.5,0.6,44,38
249,1610612744,GSW,2015,82,114.5,103.8,10.7,73,9
250,1610612745,HOU,2015,82,108.3,108.1,0.2,41,41
251,1610612754,IND,2015,82,104.6,102.9,1.7,45,37
252,1610612746,LAC,2015,82,108.3,103.8,4.5,53,29
253,1610612747,LAL,2015,82,101.6,111.6,-10.0,17,65
254,1610612763,MEM,2015,82,105.4,107.8,-2.4,42,40
255,1610612748,MIA,2015,82,106.1,104.4,1.7,48,34
256,1610612749,MIL,2015,82,104.3,108.7,-4.4,33,49
257,1610612750,MIN,2015,82,106.5,110.1,-3.6,29,53
258,1610612740,NOP,2015,82,105.6,109.5,-3.9,30,52
259,1610612752,NYK,2015,82,104.6,107.6,-3.0,32,50
260,1610612760,OKC,2015,82,113.1,105.6,7.5,55,27
261,1610612753,ORL,2015,82,105.1,106.8,-1.7,35,47
262,1610612755,PHI,2015,82,98.8,109.2,-10.4,10,72
263,1610612756,PHX,2015,82,102.2,109.0,-6.8,23,59
264,1610612757,POR,2015,82,108.8,108.0,0.8,44,38
265,1610612758,SAC,2015,82,106.0,108.4,-2.4,33,49
266,1610612759,SAS,2015,82,110.3,99.0,11.3,67,15
267,1610612761,TOR,2015,82,110.0,105.2,4.8,56,26
268,1610612762,UTA,2015,82,105.9,103.9,2.0,40,42
269,1610612764,WAS,2015,82,105.3,105.8,-0.5,41,41
270,1610612737,ATL,2016,82,104.9,105.7,-0.8,43,39
271,1610612751,BKN,2016,82,104.1,110.7,-6.6,20,62
272,1610612738,BOS,2016,82,111.2,108.4,2.8,53,29
273,1610612766,CHA,2016,82,108.8,108.6,0.2,36,46
274,1610612741,CHI,2016,82,107.4,107.0,0.4,41,41
275,1610612739,CLE,2016,82,113.6,110.3,3.3,51,31
276,1610612742,DAL,2016,82,105.6,108.8,-3.2,33,49
277,1610612743,DEN,2016,82,113.2,112.7,0.5,40,42
278,1610612765,DET,2016,82,106.0,107.1,-1.1,37,45
279,1610612744,GSW,2016,82,115.6,104.0,11.6,67,15
280,1610612745,HOU,2016,82,114.7,109.0,5.7,55,27
281,1610612754,IND,2016,82,108.6,108.8,-0.2,42,40
282,1610612746,LAC,2016,82,112.7,108.2,4.5,51,31
283,1610612747,LAL,2016,82,106.0,113.0,-7.0,26,56
284,1610612763,MEM,2016,82,107.7,107.1,0.6,43,39
285,1610612748,MIA,2016,82,107.8,106.7,1.1,41,41
286,1610612749,MIL,2016,82,109.1,109.3,-0.2,42,40
287,1610612750,MIN,2016,82,110.8,112.0,-1.2,31,51
288,1610612740,NOP,2016,82,105.2,107.4,-2.2,34,48
289,1610612752,NYK,2016,82,107.7,111.5,-3.8,31,51
290,1610612760,OKC,2016,82,108.3,107.5,0.8,47,35
291,1610612753,ORL,2016,82,103.7,110.5,-6.8,29,53
292,1610612755,PHI,2016,82,103.2,108.9,-5.7,28,54
293,1610612756,PHX,2016,82,106.6,112.2,-5.6,24,58
294,1610612757,POR,2016,82,110.3,110.8,-0.5,41,41
295,1610612758,SAC,2016,82,107.3,111.3,-4.0,32,50
296,1610612759,SAS,2016,82,111.1,103.5,7.6,61,21
297,1610612761,TOR,2016,82,112.3,107.8,4.5,51,31
298,1610612762,UTA,2016,82,109.6,105.3,4.3,51,31
299,1610612764,WAS,2016,82,111.2,109.3,1.9,49,33
300,1610612737,ATL,2017,82,105.0,110.6,-5.6,24,58
301,1610612751,BKN,2017,82,106.9,110.6,-3.7,28,54
302,1610612738,BOS,2017,82,107.6,103.9,3.7,55,27
303,1610612766,CHA,2017,82,109.4,109.1,0.3,36,46
304,1610612741,CHI,2017,82,103.8,110.9,-7.1,27,55
305,1610612739,CLE,2017,82,112.9,111.9,1.0,50,32
306,1610612742,DAL,2017,82,106.3,109.5,-3.2,24,58
307,1610612743,DEN,2017,82,112.5,111.0,1.5,46,36
308,1610612765,DET,2017,82,107.2,107.3,-0.1,39,43
309,1610612744,GSW,2017,82,113.6,107.6,6.0,58,24
310,1610612745,HOU,2017,82,114.7,106.1,8.6,65,17
311,1610612754,IND,2017,82,109.5,108.1,1.4,48,34
312,1610612746,LAC,2017,82,110.3,110.2,0.1,42,40
313,1610612747,LAL,2017,82,106.5,108.0,-1.5,35,47
314,1610612763,MEM,2017,82,104.5,111.0,-6.5,22,60
315,1610612748,MIA,2017,82,106.8,106.3,0.5,44,38
316,1610612749,MIL,2017,82,109.8,110.1,-0.3,44,38
317,1610612750,MIN,2017,82,113.4,111.1,2.3,47,35
318,1610612740,NOP,2017,82,109.6,108.3,1.3,48,34
319,1610612752,NYK,2017,82,107.1,110.7,-3.6,29,53
320,1610612760,OKC,2017,82,110.7,107.2,3.5,48,34
321,1610612753,ORL,2017,82,105.2,110.1,-4.9,25,57
322,1610612755,PHI,2017,82,109.5,105.0,4.5,52,30
323,1610612756,PHX,2017,82,103.5,112.8,-9.3,21,61
324,1610612757,POR,2017,82,109.1,106.4,2.7,49,33
325,1610612758,SAC,2017,82,103.7,111.1,-7.4,27,55
326,1610612759,SAS,2017,82,107.9,104.8,3.1,47,35
327,1610612761,TOR,2017,82,113.8,105.9,7.9,59,23
328,1610612762,UTA,2017,82,108.4,103.9,4.5,48,34
329,1610612764,WAS,2017,82,109.3,108.7,0.6,43,39
330,1610612737,ATL,2018,82,108.1,113.9,-5.8,29,53
331,1610612751,BKN,2018,82,109.6,109.7,-0.1,42,40
332,1610612738,BOS,2018,82,112.2,107.8,4.4,49,33
333,1610612766,CHA,2018,82,111.4,112.5,-1.1,39,43
334,1610612741,CHI,2018,82,104.8,113.2,-8.4,22,60
335,1610612739,CLE,2018,82,107.7,117.6,-9.9,19,63
336,1610612742,DAL,2018,82,109.4,110.7,-1.3,33,49
337,1610612743,DEN,2018,82,113.0,108.9,4.1,54,28
338,1610612765,DET,2018,82,109.0,109.2,-0.2,41,41
339,1610612744,GSW,2018,82,115.9,109.5,6.4,57,25
340,1610612745,HOU,2018,82,115.5,110.7,4.8,53,29
341,1610612754,IND,2018,82,109.9,106.5,3.4,48,34
342,1610612746,LAC,2018,82,112.4,111.5,0.9,48,34
343,1610612747,LAL,2018,82,107.8,109.5,-1.7,37,45
344,1610612763,MEM,2018,82,106.1,108.8,-2.7,33,49
345,1610612748,MIA,2018,82,107.3,107.6,-0.3,39,43
346,1610612749,MIL,2018,82,113.8,105.2,8.6,60,22
347,1610612750,MIN,2018,82,111.4,112.9,-1.5,36,46
348,1610612740,NOP,2018,82,111.4,112.6,-1.2,33,49
349,1610612752,NYK,2018,82,104.5,113.7,-9.2,17,65
350,1610612760,OKC,2018,82,110.3,107.0,3.3,49,33
351,1610612753,ORL,2018,82,108.9,108.1,0.8,42,40
352,1610612755,PHI,2018,82,112.6,110.0,2.6,51,31
353,1610612756,PHX,2018,82,105.9,115.1,-9.2,19,63
354,1610612757,POR,2018,82,114.7,110.5,4.2,53,29
355,1610612758,SAC,2018,82,110.4,111.5,-1.1,39,43
356,1610612759,SAS,2018,82,112.9,111.2,1.7,48,34
357,1610612761,TOR,2018,82,113.1,107.1,6.0,58,24
358,1610612762,UTA,2018,82,110.9,105.7,5.2,50,32
359,1610612764,WAS,2018,82,111.1,113.9,-2.8,32,50
360,1610612737,ATL,2019,67,107.2,114.8,-7.6,20,47
361,1610612751,BKN,2019,72,108.9,109.5,-0.6,35,37
362,1610612738,BOS,2019,72,113.3,107.0,6.3,48,24
363,1610612766,CHA,2019,65,106.3,113.3,-7.0,23,42
364,1610612741,CHI,2019,65,106.7,109.8,-3.1,22,43
365,1610612739,CLE,2019,65,107.5,115.4,-7.9,19,46
366,1610612742,DAL,2019,75,116.7,111.7,5.0,43,32
367,1610612743,DEN,2019,73,113.1,111.0,2.1,46,27
368,1610612765,DET,2019,66,109.0,112.7,-3.7,20,46
369,1610612744,GSW,2019,65,105.2,113.8,-8.6,15,50
370,1610612745,HOU,2019,72,112.9,110.1,2.8,44,28
371,1610612754,IND,2019,73,110.0,108.0,2.0,45,28
372,1610612746,LAC,2019,72,113.9,107.6,6.3,49,23
373,1610612747,LAL,2019,71,112.0,106.3,5.7,52,19
374,1610612763,MEM,2019,73,109.2,110.3,-1.1,34,39
375,1610612748,MIA,2019,73,112.5,109.5,3.0,44,29
376,1610612749,MIL,2019,73,112.4,102.9,9.5,56,17
377,1610612750,MIN,2019,64,108.1,112.2,-4.1,19,45
378,1610612740,NOP,2019,72,110.7,111.9,-1.2,30,42
379,1610612752,NYK,2019,66,106.5,113.0,-6.5,21,45
380,1610612760,OKC,2019,72,110.8,108.8,2.0,44,28
381,1610612753,ORL,2019,73,108.5,109.5,-1.0,33,40
382,1610612755,PHI,2019,73,111.3,109.0,2.3,43,30
383,1610612756,PHX,2019,73,111.7,111.4,0.3,34,39
384,1610612757,POR,2019,74,113.7,114.8,-1.1,35,39
385,1610612758,SAC,2019,72,110.2,112.2,-2.0,31,41
386,1610612759,SAS,2019,71,112.4,113.5,-1.1,32,39
387,1610612761,TOR,2019,72,111.1,105.0,6.1,53,19
388,1610612762,UTA,2019,72,112.3,109.9,2.4,44,28
389,1610612764,WAS,2019,72,110.9,115.5,-4.6,25,47
390,1610612737,ATL,2020,72,115.7,113.3,2.4,41,31
391,1610612751,BKN,2020,72,118.3,113.8,4.5,48,24
392,1610612738,BOS,2020,72,114.0,112.5,1.5,36,36
393,1610612766,CHA,2020,72,110.9,112.8,-1.9,33,39
394,1610612741,CHI,2020,72,111.1,112.0,-0.9,31,41
395,1610612739,CLE,2020,72,105.8,114.4,-8.6,22,50
396,1610612742,DAL,2020,72,115.4,113.0,2.4,42,30
397,1610612743,DEN,2020,72,117.1,112.1,5.0,47,25
398,1610612765,DET,2020,72,108.0,112.5,-4.5,20,52
399,1610612744,GSW,2020,72,111.1,110.1,1.0,39,33
400,1610612745,HOU,2020,72,107.1,114.9,-7.8,17,55
401,1610612754,IND,2020,72,112.4,112.4,0.0,34,38
402,1610612746,LAC,2020,72,117.6,111.2,6.4,47,25
403,1610612747,LAL,2020,72,109.9,107.1,2.8,42,30
404,1610612763,MEM,2020,72,112.0,111.0,1.0,38,34
405,1610612748,MIA,2020,72,111.2,111.2,0.0,40,32
406,1610612749,MIL,2020,72,117.2,111.4,5.8,46,26
407,1610612750,MIN,2020,72,109.5,115.0,-5.5,23,49
408,1610612740,NOP,2020,72,113.5,113.8,-0.3,31,41
409,1610612752,NYK,2020,72,110.6,108.2,2.4,41,31
410,1610612760,OKC,2020,72,103.5,114.0,-10.5,22,50
411,1610612753,ORL,2020,72,105.1,114.5,-9.4,21,51
412,1610612755,PHI,2020,72,113.2,107.6,5.6,49,23
413,1610612756,PHX,2020,72,117.2,111.3,5.9,51,21
414,1610612757,POR,2020,72,117.8,116.0,1.8,42,30
415,1610612758,SAC,2020,72,113.6,117.2,-3.6,31,41
416,1610612759,SAS,2020,72,111.0,112.8,-1.8,33,39
417,1610612761,TOR,2020,72,112.0,112.5,-0.5,27,45
418,1610612762,UTA,2020,72,117.6,108.3,9.3,52,20
419,1610612764,WAS,2020,72,111.2,113.0,-1.8,34,38
420,1610612737,ATL,2021,82,116.5,114.9,1.6,43,39
421,1610612751,BKN,2021,82,113.6,112.8,0.8,44,38
422,1610612738,BOS,2021,82,114.4,106.9,7.5,51,31
423,1610612766,CHA,2021,82,114.1,113.7,0.4,43,39
424,1610612741,CHI,2021,82,113.2,113.6,-0.4,46,36
425,1610612739,CLE,2021,82,111.9,109.7,2.2,44,38
426,1610612742,DAL,2021,82,112.8,109.4,3.4,52,30
427,1610612743,DEN,2021,82,114.5,112.1,2.4,48,34
428,1610612765,DET,2021,82,106.0,113.8,-7.8,23,59
429,1610612744,GSW,2021,82,112.5,106.9,5.6,53,29
